Parliament Constituency,Winning Candidate,Total Votes,Margin
CHENNAI NORTH(2),DR.KALANIDHI VEERASWAMY,497333,339222
CHENNAI SOUTH(3),T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,516628,225945
CHENNAI CENTRAL(4),DAYANIDHI MARAN,413848,244689
SRIPERUMBUDUR(5),T R BAALU,758611,487029
KANCHEEPURAM(6),SELVAM. G,586044,221473
ARAKKONAM(7),S JAGATHRATCHAKAN,563216,306559
VELLORE(8),DM KATHIR ANAND,568692,215702
DHARMAPURI(10),MANI. A.,432667,21300
TIRUVANNAMALAI(11),"ANNADURAI, C.N.",547379,233931
ARANI(12),THARANIVENTHAN M S,500099,208766
KALLAKURICHI(14),MALAIYARASAN D,561589,53784
SALEM(15),SELVAGANAPATHI T M,566085,70357
NAMAKKAL(16),MATHESWARAN V S,462036,29112
ERODE(17),K E PRAKASH,562339,236566
NILGIRIS(19),RAJA A,473212,240585
COIMBATORE(20),GANAPATHY RAJKUMAR P,568200,118068
POLLACHI(21),ESWARASAMY K,533377,252042
PERAMBALUR(25),ARUN NEHRU,603209,389107
THANJAVUR(30),MURASOLI S,502245,319583
THENI(33),THANGA TAMILSELVAN,571493,278825
THOOTHUKKUDI(36),KANIMOZHI KARUNANIDHI,540729,392738
TENKASI(37),DR RANI SRI KUMAR,425679,196199
