Parliament Constituency,Winning Candidate,Total Votes,Margin
Valmiki Nagar (1),SUNIL KUMAR,523422,98675
Sheohar(4),LOVELY ANAND,476612,29143
Sitamarhi(5),DEVESH CHANDRA THAKUR,515719,51356
Jhanjharpur(7),RAMPRIT MANDAL,533032,184169
Supaul(8),DILESHWAR KAMAIT,595038,169803
Madhepura(13),DINESH CHANDRA YADAV,640649,174534
Gopalganj(17),DR. ALOK KUMAR SUMAN,511866,127180
Siwan(18),VIJAYLAKSHMI DEVI,386508,92857
Bhagalpur(26),AJAY KUMAR MANDAL,536031,104868
Banka(27),GIRIDHARI YADAV,506678,103844
Munger(28),RAJIV RANJAN SINGH ALIAS LALAN SINGH,550146,80870
Nalanda(29),KAUSHALENDRA KUMAR,559422,169114
