Parliament Constituency,Winning Candidate,Total Votes,Margin
Kairana(2),IQRA CHOUDHARY,528013,69116
Muzaffarnagar(3),HARENDRA SINGH MALIK,470721,24672
Moradabad(6),RUCHI VIRA,637363,105762
Rampur(7),MOHIBBULLAH,481503,87434
Sambhal(8),ZIA UR REHMAN,571161,121494
Firozabad(20),AKSHAYA YADAV,543037,89312
Mainpuri(21),DIMPLE YADAV,598526,221639
Etah(22),DEVESH SHAKYA,475808,28052
Badaun(23),ADITYA YADAV,501855,34991
Aonla(24),NEERAJ MAURYA,492515,15969
Kheri(28),UTKARSH VERMA 'MADHUR',557365,34329
Dhaurahra(29),ANAND BHADAURIYA,443743,4449
Mohanlalganj(34),R.K. CHAUDHARY,667869,70292
Sultanpur(38),RAMBHUAL NISHAD,444330,43174
Pratapgarh(39),SHIV PAL SINGH PATEL (DR. S P SINGH),441932,66206
Etawah(41),JITENDRA KUMAR DOHARE,490747,58419
Kannauj(42),AKHILESH YADAV,642292,170922
Jalaun(45),NARAYAN DAS AHIRWAR,530180,53898
Hamirpur(47),AJENDRA SINGH LODHI,490683,2629
Banda(48),KRISHNA DEVI SHIVSHANKER PATEL,406567,71210
Fatehpur(49),NARESH CHANDRA UTTAM PATEL,500328,33199
Kaushambi(50),PUSHPENDRA SAROJ,509787,103944
Faizabad(54),AWADHESH PRASAD,554289,54567
Ambedkar Nagar(55),LALJI VERMA,544959,137247
Shrawasti(58),RAM SHIROMANI VERMA,511055,76673
Basti(61),RAM PRASAD CHAUDHARY,527005,100994
Sant Kabir Nagar(62),LAXMIKANT PAPPU NISHAD,498695,92170
Lalganj(68),DAROGA PRASAD SAROJ,439959,115023
Azamgarh(69),DHARMENDRA YADAV,508239,161035
Ghosi(70),RAJEEV RAI,503131,162943
Salempur(71),RAMASHANKAR RAJBHAR,405472,3573
Ballia(72),SANATAN PANDEY,467068,43384
Jaunpur(73),BABU SINGH KUSHWAHA,509130,99335
Machhlishahr(74),PRIYA SAROJ,451292,35850
Ghazipur(75),AFZAL ANSARI,539912,124861
Chandauli(76),BIRENDRA SINGH,474476,21565
Robertsganj(80),CHHOTELAL,465848,129234
