State,Parliament Constituency,Winning Candidate,Total Votes,Margin
Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),BISHNU PADA RAY,102436,24396
Andhra Pradesh,Srikakulam(2),KINJARAPU RAMMOHAN NAIDU,754328,327901
Andhra Pradesh,Vizianagaram(3),APPALANAIDU KALISETTI,743113,249351
Andhra Pradesh,Visakhapatnam(4),SRIBHARAT MATHUKUMILI,907467,504247
Andhra Pradesh,Amalapuram (SC)(7),G M HARISH (BALAYOGI),796981,342196
Andhra Pradesh,Eluru(10),PUTTA MAHESH KUMAR,746351,181857
Andhra Pradesh,Vijayawada(12),KESINENI SIVANATH (CHINNI),794154,282085
Andhra Pradesh,Guntur(13),DR CHANDRA SEKHAR PEMMASANI,864948,344695
Andhra Pradesh,Narsaraopet(14),LAVU SRIKRISHNA DEVARAYALU,807996,159729
Andhra Pradesh,Bapatla (SC)(15),KRISHNA PRASAD TENNETI,717493,208031
Andhra Pradesh,Ongole(16),MAGUNTA SREENIVASULU REDDY,701894,50199
Andhra Pradesh,Nandyal(17),DR BYREDDY SHABARI,701131,111975
Andhra Pradesh,Kurnoolu(18),BASTIPATI NAGARAJU PANCHALINGALA,658914,111298
Andhra Pradesh,Ananthapur(19),AMBICA G LAKSHMINARAYANA VALMIKI,768245,188555
Andhra Pradesh,Hindupur(20),B K PARTHASARATHI,725534,132427
Andhra Pradesh,Nellore(22),PRABHAKAR REDDY VEMIREDDY,766202,245902
Andhra Pradesh,Chittoor(SC)(25),DAGGUMALLA PRASADA RAO,778071,220479
Andhra Pradesh,Araku (ST)(1),GUMMA THANUJA RANI,477005,50580
Andhra Pradesh,Kadapa(21),Y. S. AVINASH REDDY,605143,62695
Andhra Pradesh,Thirupathi(SC)(23),GURUMOORTHY MADDILA,632228,14569
Andhra Pradesh,Rajampet(24),P V MIDHUN REDDY,644844,76071
Andhra Pradesh,Anakapalle(5),C.M.RAMESH,762069,296530
Andhra Pradesh,Rajahmundry(8),DAGGUBATI PURANDHESHWARI,726515,239139
Andhra Pradesh,Narsapuram(9),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343,276802
